dataset_group,method,removed_ratio,gcc_ratio
synthetic45,SASB,0.81,0.025951976512767094
synthetic45,SASB,0.8200000000000001,0.024541057169349685
synthetic45,SASB,0.8300000000000001,0.02379064471755366
synthetic45,SASB,0.84,0.02303655301103594
synthetic45,SASB,0.85,0.021614839794850915
synthetic45,SASB,0.86,0.02019253469811744
synthetic45,SASB,0.87,0.01911800251434285
synthetic45,SASB,0.88,0.018483208604641192
synthetic45,SASB,0.89,0.01781063749753634
synthetic45,SASB,0.9,0.01738732948235828
synthetic45,SASB,0.91,0.017339367851662835
synthetic45,SASB,0.92,0.016519190975672098
synthetic45,SASB,0.93,0.015372961219374487
synthetic45,SASB,0.9400000000000001,0.014547801454979071
synthetic45,SASB,0.9500000000000001,0.014358723374209785
synthetic45,SASB,0.96,0.014257713273199685
synthetic45,SASB,0.97,0.014257713273199685
synthetic45,SASB,0.98,0.013839060296790934
synthetic45,SASB,0.99,0.013839060296790934
synthetic45,SASB,1.0,0.006919530148395443
